timestamp,in2.ft
2/28/2018 18:00,0.037
2/28/2018 18:02,0.034
2/28/2018 18:04,0.034
2/28/2018 18:06,0.034
2/28/2018 18:08,0.034
2/28/2018 18:10,0.034
2/28/2018 18:12,0.034
2/28/2018 18:14,0.034
2/28/2018 18:16,0.034
2/28/2018 18:18,0.037
2/28/2018 18:20,0.037
2/28/2018 18:22,0.037
2/28/2018 18:24,0.037
2/28/2018 18:26,0.037
2/28/2018 18:28,0.041
2/28/2018 18:30,0.037
2/28/2018 18:32,0.034
2/28/2018 18:34,0.034
2/28/2018 18:36,0.034
2/28/2018 18:38,0.037
2/28/2018 18:40,0.037
2/28/2018 18:42,0.037
2/28/2018 18:44,0.034
2/28/2018 18:46,0.037
2/28/2018 18:48,0.034
2/28/2018 18:50,0.034
2/28/2018 18:52,0.034
2/28/2018 18:54,0.037
2/28/2018 18:56,0.037
2/28/2018 18:58,0.041
2/28/2018 19:00,0.037
2/28/2018 19:02,0.031
2/28/2018 19:04,0.034
2/28/2018 19:06,0.034
2/28/2018 19:08,0.037
2/28/2018 19:10,0.034
2/28/2018 19:12,0.034
2/28/2018 19:14,0.034
2/28/2018 19:16,0.034
2/28/2018 19:18,0.034
2/28/2018 19:20,0.037
